Site,Pit,Date in,Date out,Month,NH4 ppm,NH4(mg N/L) ,vol of KCl (L) ,NH4 (mg N) ,Number of resin strips ,NH4 (mg N/ resin strip) ,area of resin strip (cm2),NH4 (mg N/ cm2) ,deployment (days),N adsorbed (mg N cm-2 day-1) ,N adsorbed (ug N cm-2 day-1) ,N adsorbed (ug N cm-2 week-1) ,N adsorbed (ug N cm-2 30 days-1) 
Wade Wet,8,1/11/2023,2/15/2023,,0.69,0.69,0.06,0.04,1,0.04,11.4,0.00361,35,0.000103,0.1,0.72,3.09
Wade Dry,1,1/11/2023,2/15/2023,,1.8,1.8,0.06,0.11,1,0.11,11.4,0.00949,35,0.000271,0.27,1.9,8.14
Wade Dry,2,1/11/2023,2/15/2023,,0.29,0.29,0.06,0.02,1,0.02,11.4,0.00155,35,0.000044,0.04,0.31,1.33
Wade Dry,3,1/11/2023,2/15/2023,,0.77,0.77,0.06,0.05,1,0.05,11.4,0.00407,35,0.000116,0.12,0.81,3.49
Wade Dry,4,1/11/2023,2/15/2023,,0.5,0.5,0.06,0.03,1,0.03,11.4,0.00262,35,0.000075,0.07,0.52,2.25
Wade Dry,5,1/11/2023,2/15/2023,,0.73,0.73,0.06,0.04,1,0.04,11.4,0.00383,35,0.00011,0.11,0.77,3.29
Hungerford Dry,1,1/11/2023,2/15/2023,,24.8,24.8,0.06,1.49,1,1.49,11.4,0.13054,35,0.00373,3.73,26.11,111.89
Hungerford Wet,1,1/11/2023,2/15/2023,,2.07,2.07,0.06,0.12,1,0.12,11.4,0.01088,35,0.000311,0.31,2.18,9.32
Hungerford Wet,2,1/11/2023,2/15/2023,,1.18,1.18,0.06,0.07,1,0.07,11.4,0.0062,35,0.000177,0.18,1.24,5.31
Hungerford Wet,3,1/11/2023,2/15/2023,,1.11,1.11,0.06,0.07,1,0.07,11.4,0.00586,35,0.000167,0.17,1.17,5.02
Wade Wet,1,2/15/2023,4/12/2023,,0.62,0.62,0.06,0.04,1,0.04,11.4,0.00327,56,0.000058,0.06,0.41,1.75
Wade Wet,5,2/15/2023,4/12/2023,,1.36,1.36,0.06,0.08,1,0.08,11.4,0.00718,56,0.000128,0.13,0.9,3.85
Wade Wet,6,2/15/2023,4/12/2023,,7.15,7.15,0.06,0.43,1,0.43,11.4,0.03765,56,0.000672,0.67,4.71,20.17
Wade Wet,7,2/15/2023,4/12/2023,,0.47,0.47,0.06,0.03,1,0.03,11.4,0.00246,56,0.000044,0.04,0.31,1.32
Wade Wet,8,2/15/2023,4/12/2023,,0.2,0.2,0.06,0.01,1,0.01,11.4,0.00103,56,0.000018,0.02,0.13,0.55
Wade Dry,1,2/15/2023,4/12/2023,,0.98,0.98,0.06,0.06,1,0.06,11.4,0.00516,56,0.000092,0.09,0.65,2.76
Wade Dry,2,2/15/2023,4/12/2023,,0.19,0.19,0.06,0.01,1,0.01,11.4,0.00097,56,0.000017,0.02,0.12,0.52
Wade Dry,3,2/15/2023,4/12/2023,,1.06,1.06,0.06,0.06,1,0.06,11.4,0.00557,56,0.0001,0.1,0.7,2.99
Wade Dry,4,2/15/2023,4/12/2023,,1.87,1.87,0.06,0.11,1,0.11,11.4,0.00986,56,0.000176,0.18,1.23,5.28
Wade Dry,5,2/15/2023,4/12/2023,,0.3,0.3,0.06,0.02,1,0.02,11.4,0.00156,56,0.000028,0.03,0.2,0.84
Hungerford Dry,1,2/15/2023,4/12/2023,,4.3,4.3,0.06,0.26,1,0.26,11.4,0.02263,56,0.000404,0.4,2.83,12.12
Hungerford Wet,1,2/15/2023,4/12/2023,,1.9,1.9,0.06,0.11,1,0.11,11.4,0.00998,56,0.000178,0.18,1.25,5.35
Hungerford Wet,2,2/15/2023,4/12/2023,,1.38,1.38,0.06,0.08,1,0.08,11.4,0.00725,56,0.000129,0.13,0.91,3.88
Hungerford Wet,3,2/15/2023,4/12/2023,,1.6,1.6,0.06,0.1,1,0.1,11.4,0.00841,56,0.00015,0.15,1.05,4.5
Hungerford Wet,5,2/15/2023,4/12/2023,,2.59,2.59,0.06,0.16,1,0.16,11.4,0.01362,56,0.000243,0.24,1.7,7.3
Wade Wet,6,4/12/2023,5/9/2023,,3.78,3.78,0.06,0.23,1,0.23,11.4,0.01989,27,0.000737,0.74,5.16,22.1
Wade Dry,2,4/12/2023,5/9/2023,,0.06,0.06,0.06,0,1,0,11.4,0.00034,27,0.000012,0.01,0.09,0.37
Wade Wet,1,4/12/2023,5/9/2023,,0.38,0.38,0.06,0.02,1,0.02,11.4,0.00201,27,0.000075,0.07,0.52,2.24
Hungerford Wet,1,4/12/2023,5/9/2023,,0.82,0.82,0.06,0.05,1,0.05,11.4,0.00429,27,0.000159,0.16,1.11,4.77
Wade Wet,8,4/12/2023,5/9/2023,,-0.03,-0.03,0.06,0,1,0,11.4,-0.00017,27,-0.000006,-0.01,-0.04,-0.19
Wade Dry,1,4/12/2023,5/9/2023,,-0.14,-0.14,0.06,-0.01,1,-0.01,11.4,-0.00072,27,-0.000027,-0.03,-0.19,-0.8
Wade Dry,4,4/12/2023,5/9/2023,,-0.07,-0.07,0.06,0,1,0,11.4,-0.00034,27,-0.000013,-0.01,-0.09,-0.38
Wade Dry,3,4/12/2023,5/9/2023,,-0.15,-0.15,0.06,-0.01,1,-0.01,11.4,-0.00078,27,-0.000029,-0.03,-0.2,-0.87
Hungerford Wet,3,4/12/2023,5/9/2023,,0.81,0.81,0.06,0.05,1,0.05,11.4,0.00425,27,0.000157,0.16,1.1,4.72
Wade Wet,7,4/12/2023,5/9/2023,,0.03,0.03,0.06,0,1,0,11.4,0.00016,27,0.000006,0.01,0.04,0.18
Hungerford Dry,1,4/12/2023,5/9/2023,,3.46,3.46,0.06,0.21,1,0.21,11.4,0.0182,27,0.000674,0.67,4.72,20.23
Wade Wet,5,4/12/2023,5/9/2023,,0.06,0.06,0.06,0,1,0,11.4,0.00034,27,0.000012,0.01,0.09,0.37
Wade Dry,5,4/12/2023,5/9/2023,,-0.12,-0.12,0.06,-0.01,1,-0.01,11.4,-0.00064,27,-0.000024,-0.02,-0.17,-0.72
Hungerford Wet,5,4/12/2023,5/9/2023,,-0.02,-0.02,0.06,0,1,0,11.4,-0.00008,27,-0.000003,0,-0.02,-0.09
Hungerford Dry,1,5/9/2023,6/21/2023,,0.575748,0.575748,0.06,0.03454485,1,0.03454485,11.4,0.00303,43,0.0000704709,0.07,0.493296512,2.114127907
Hungerford Wet,1,5/9/2023,6/21/2023,,0.185908,0.185908,0.06,0.01115448,1,0.01115448,11.4,0.00098,43,0.000022755,0.023,0.1592847,0.682648715
Hungerford Wet,2,5/9/2023,6/21/2023,,0.184099,0.184099,0.06,0.01104594,1,0.01104594,11.4,0.00097,43,0.0000225335,0.023,0.157734761,0.67600612
Hungerford Wet,3,5/9/2023,6/21/2023,,0.165004,0.165004,0.06,0.00990024,1,0.00990024,11.4,0.00087,43,0.0000201963,0.02,0.141374296,0.605889841
Hungerford Wet,5,5/9/2023,6/21/2023,,0.327513,0.327513,0.06,0.01965075,1,0.01965075,11.4,0.00172,43,0.0000400872,0.04,0.280610465,1.202616279
Wade Dry,1,5/9/2023,6/21/2023,,0.165155,0.165155,0.06,0.00990929,1,0.00990929,11.4,0.00087,43,0.0000202148,0.02,0.141503458,0.60644339
Wade Dry,2,5/9/2023,6/21/2023,,0.235706,0.235706,0.06,0.01414235,1,0.01414235,11.4,0.00124,43,0.0000288502,0.029,0.201951071,0.86550459
Wade Dry,3,5/9/2023,6/21/2023,,0.204651,0.204651,0.06,0.01227908,1,0.01227908,11.4,0.00108,43,0.0000250491,0.025,0.175343788,0.751473378
Wade Dry,4,5/9/2023,6/21/2023,,0.35103,0.35103,0.06,0.02106177,1,0.02106177,11.4,0.00185,43,0.0000429657,0.043,0.30075967,1.288970012
Wade Dry,5,5/9/2023,6/21/2023,,0.341985,0.341985,0.06,0.02051907,1,0.02051907,11.4,0.0018,43,0.0000418586,0.042,0.293009976,1.255757038
Wade Wet,1,5/9/2023,6/21/2023,,0.1742,0.1742,0.06,0.01045199,1,0.01045199,11.4,0.00092,43,0.0000213219,0.021,0.149253152,0.639656365
Wade Wet,5,5/9/2023,6/21/2023,,0.354648,0.354648,0.06,0.02127885,1,0.02127885,11.4,0.00187,43,0.0000434085,0.043,0.303859547,1.302255202
Wade Wet,6,5/9/2023,6/21/2023,,0.670167,0.670167,0.06,0.04021004,1,0.04021004,11.4,0.00353,43,0.0000820278,0.082,0.574194706,2.460834455
Wade Wet,7,5/9/2023,6/21/2023,,0.195556,0.195556,0.06,0.01173336,1,0.01173336,11.4,0.00103,43,0.0000239359,0.024,0.16755104,0.718075887
Wade Wet,8,5/9/2023,6/21/2023,,0.162693,0.162693,0.06,0.00976155,1,0.00976155,11.4,0.00086,43,0.0000199134,0.02,0.139393819,0.597402081
Hungerford Dry,1,6/21/2023,7/20/2023,,0.347295,0.347295,0.06,0.02083768,1,0.02083768,11.4,0.00183,29,0.0000630299,0.063,0.441209111,1.890896189
Hungerford Wet,1,6/21/2023,7/20/2023,,0.518576,0.518576,0.06,0.03111457,1,0.03111457,11.4,0.00273,29,0.0000941155,0.094,0.65880824,2.823463884
Hungerford Wet,2,6/21/2023,7/20/2023,,0.533944,0.533944,0.06,0.03203663,1,0.03203663,11.4,0.00281,29,0.0000969045,0.097,0.678331506,2.907135027
Hungerford Wet,5,6/21/2023,7/20/2023,,0.86017,0.86017,0.06,0.05161018,1,0.05161018,11.4,0.00453,29,0.000156111,0.156,1.092774446,4.683319056
Wade Dry,4,6/21/2023,7/20/2023,,0.393323,0.393323,0.06,0.02359937,1,0.02359937,11.4,0.00207,29,0.0000713834,0.071,0.499684138,2.141503448
Wade Dry,5,6/21/2023,7/20/2023,,0.327376,0.327376,0.06,0.01964258,1,0.01964258,11.4,0.00172,29,0.000059415,0.059,0.415904682,1.782448639
Wade Wet,1,6/21/2023,7/20/2023,,0.3276,0.3276,0.06,0.01965601,1,0.01965601,11.4,0.00172,29,0.0000594556,0.059,0.416189002,1.783667151
Wade Wet,5,6/21/2023,7/20/2023,,0.388399,0.388399,0.06,0.02330395,1,0.02330395,11.4,0.00204,29,0.0000704899,0.07,0.493429111,2.114696189
Wade Wet,6,6/21/2023,7/20/2023,,0.544761,0.544761,0.06,0.03268565,1,0.03268565,11.4,0.00287,29,0.0000988677,0.099,0.692073612,2.966029764
Wade Wet,7,6/21/2023,7/20/2023,,0.319394,0.319394,0.06,0.01916365,1,0.01916365,11.4,0.00168,29,0.0000579663,0.058,0.405763956,1.738988385
Wade Wet,8,6/21/2023,7/20/2023,,0.523798,0.523798,0.06,0.03142789,1,0.03142789,11.4,0.00276,29,0.0000950632,0.095,0.665442359,2.851895826
Hungerford Dry,1,7/20/2023,8/31/2023,,0.839415,0.839415,0.06,0.05036488,1,0.05036488,11.4,0.00442,42,0.00010519,0.105,0.736328659,3.155694253
Hungerford Wet,1,7/20/2023,8/31/2023,,2.926074,2.926074,0.06,0.17556442,1,0.17556442,11.4,0.0154,42,0.000366676,0.367,2.566731348,11.0002772
Hungerford Wet,2,7/20/2023,8/31/2023,,2.582098,2.582098,0.06,0.15492588,1,0.15492588,11.4,0.01359,42,0.000323571,0.324,2.2649983,9.70713557
Hungerford Wet,3,7/20/2023,8/31/2023,,6.284113,6.284113,0.06,0.37704675,1,0.37704675,11.4,0.03307,42,0.000787483,0.787,5.51237939,23.6244831
Hungerford Wet,5,7/20/2023,8/31/2023,,2.070886,2.070886,0.06,0.12425314,1,0.12425314,11.4,0.0109,42,0.000259509,0.26,1.816566311,7.785284191
Wade Dry,1,7/20/2023,8/31/2023,,2.08989,2.08989,0.06,0.12539339,1,0.12539339,11.4,0.011,42,0.000261891,0.262,1.833236645,7.85672848
Wade Dry,2,7/20/2023,8/31/2023,,0.691182,0.691182,0.06,0.04147092,1,0.04147092,11.4,0.00364,42,0.0000866143,0.087,0.606300053,2.598428797
Wade Dry,3,7/20/2023,8/31/2023,,0.660775,0.660775,0.06,0.03964652,1,0.03964652,11.4,0.00348,42,0.0000828039,0.083,0.579627518,2.484117935
Wade Dry,4,7/20/2023,8/31/2023,,4.051121,4.051121,0.06,0.24306727,1,0.24306727,11.4,0.02132,42,0.000507659,0.508,3.553615129,15.22977912
Wade Dry,5,7/20/2023,8/31/2023,,0.242683,0.242683,0.06,0.014561,1,0.014561,11.4,0.00128,42,0.0000304115,0.03,0.212880167,0.912343573
Wade Wet,1,7/20/2023,8/31/2023,,0.189472,0.189472,0.06,0.0113683,1,0.0113683,11.4,0.001,42,0.0000237433,0.024,0.166203231,0.712299563
Wade Wet,5,7/20/2023,8/31/2023,,2.194413,2.194413,0.06,0.13166477,1,0.13166477,11.4,0.01155,42,0.000274989,0.275,1.924923483,8.249672071
Wade Wet,6,7/20/2023,8/31/2023,,4.389396,4.389396,0.06,0.26336374,1,0.26336374,11.4,0.0231,42,0.00055005,0.55,3.850347076,16.50148747
Wade Wet,7,7/20/2023,8/31/2023,,7.838655,7.838655,0.06,0.47031927,1,0.47031927,11.4,0.04126,42,0.000982288,0.982,6.876012723,29.46862595
Wade Wet,8,7/20/2023,8/31/2023,,4.144242,4.144242,0.06,0.2486545,1,0.2486545,11.4,0.02181,42,0.000519329,0.519,3.635299766,15.57985614
Hungerford Dry,1,8/31/2023,10/12/2023,,0.054038,0.054038,0.06,0.0032423,1,0.0032423,11.4,0.00028,42,0.00000677173,0.007,0.047402105,0.20315188
Hungerford Wet,1,8/31/2023,10/12/2023,,0.049769,0.049769,0.06,0.00298611,1,0.00298611,11.4,0.00026,42,0.00000623665,0.006,0.043656579,0.187099624
Hungerford Wet,2,8/31/2023,10/12/2023,,0.049949,0.049949,0.06,0.00299695,1,0.00299695,11.4,0.00026,42,0.00000625929,0.006,0.043815,0.187778571
Hungerford Wet,3,8/31/2023,10/12/2023,,0.049622,0.049622,0.06,0.00297734,1,0.00297734,11.4,0.00026,42,0.00000621833,0.006,0.043528333,0.18655
Hungerford Wet,5,8/31/2023,10/12/2023,,0.049463,0.049463,0.06,0.00296779,1,0.00296779,11.4,0.00026,42,0.0000061984,0.006,0.043388772,0.18595188
Wade Dry,1,8/31/2023,10/12/2023,,0.0524,0.0524,0.06,0.00314401,1,0.003144006,11.4,0.00028,42,0.00000656643,0.007,0.045965,0.196992857
Wade Dry,2,8/31/2023,10/12/2023,,0.049988,0.049988,0.06,0.00299927,1,0.002999268,11.4,0.00026,42,0.00000626414,0.006,0.043848947,0.18792406
Wade Dry,3,8/31/2023,10/12/2023,,0.049291,0.049291,0.06,0.00295747,1,0.002957472,11.4,0.00026,42,0.00000617684,0.006,0.043237895,0.185305263
Wade Dry,4,8/31/2023,10/12/2023,,0.050095,0.050095,0.06,0.00300572,1,0.003005718,11.4,0.00026,42,0.00000627761,0.006,0.043943246,0.188328195
Wade Dry,5,8/31/2023,10/12/2023,,0.049485,0.049485,0.06,0.00296908,1,0.002969082,11.4,0.00026,42,0.00000620109,0.006,0.043407632,0.186032707
Wade Wet,1,8/31/2023,10/12/2023,,0.049373,0.049373,0.06,0.00296237,1,0.002962374,11.4,0.00026,42,0.00000618708,0.006,0.043309561,0.185612406
Wade Wet,5,8/31/2023,10/12/2023,,0.05031,0.05031,0.06,0.00301862,1,0.003018618,11.4,0.00026,42,0.00000630455,0.006,0.044131842,0.189136466
Wade Wet,6,8/31/2023,10/12/2023,,0.050018,0.050018,0.06,0.00300107,1,0.003001074,11.4,0.00026,42,0.00000626791,0.006,0.043875351,0.188037218
Wade Wet,7,8/31/2023,10/12/2023,,0.054094,0.054094,0.06,0.00324566,1,0.003245658,11.4,0.00028,42,0.00000677873,0.007,0.04745114,0.20336203
Wade Wet,8,8/31/2023,10/12/2023,,0.049334,0.049334,0.06,0.00296005,1,0.002960052,11.4,0.00026,42,0.00000618223,0.006,0.043275614,0.185466917
Hungerford Dry,1,10/12/2023,11/21/2023,,0.145007,0.145007,0.06,0.00870039,1,0.00870039,11.4,0.00076,40,0.0000190798,0.019,0.133558618,0.572394079
Hungerford Wet,1,10/12/2023,11/21/2023,,0.103291,0.103291,0.06,0.00619744,1,0.00619744,11.4,0.00054,40,0.0000135909,0.014,0.09513614,0.407726316
Hungerford Wet,2,10/12/2023,11/21/2023,,0.091539,0.091539,0.06,0.00549232,1,0.00549232,11.4,0.00048,40,0.0000120446,0.012,0.08431193,0.361336842
Hungerford Wet,3,10/12/2023,11/21/2023,,0.089938,0.089938,0.06,0.00539627,1,0.00539627,11.4,0.00047,40,0.0000118339,0.012,0.082837478,0.355017763
Hungerford Wet,5,10/12/2023,11/21/2023,,0.108395,0.108395,0.06,0.00650367,1,0.00650367,11.4,0.00057,40,0.0000142624,0.014,0.099837039,0.427873026
Wade Dry,1,10/12/2023,11/21/2023,,0.0891845,0.089185,0.06,0.00535107,1,0.00535107,11.4,0.00047,40,0.0000117348,0.012,0.082143618,0.352044079
Wade Dry,2,10/12/2023,11/21/2023,,0.0887325,0.088733,0.06,0.00532395,1,0.00532395,11.4,0.00047,40,0.0000116753,0.012,0.081727303,0.350259868
Wade Dry,3,10/12/2023,11/21/2023,,0.089033833,0.089034,0.06,0.00534203,1,0.00534203,11.4,0.00047,40,0.000011715,0.012,0.082004846,0.351449342
Wade Dry,4,10/12/2023,11/21/2023,,0.089241,0.089241,0.06,0.00535446,1,0.00535446,11.4,0.00047,40,0.0000117422,0.012,0.082195658,0.352267105
Wade Dry,5,10/12/2023,11/21/2023,,0.089222167,0.089222,0.06,0.00535333,1,0.00535333,11.4,0.00047,40,0.0000117398,0.012,0.082178311,0.352192763
Wade Wet,1,10/12/2023,11/21/2023,,0.089335167,0.089335,0.06,0.00536011,1,0.00536011,11.4,0.00047,40,0.0000117546,0.012,0.08228239,0.352638816
Wade Wet,5,10/12/2023,11/21/2023,,0.090239167,0.090239,0.06,0.00541435,1,0.00541435,11.4,0.00047,40,0.0000118736,0.012,0.083115022,0.356207237
Wade Wet,6,10/12/2023,11/21/2023,,0.092725167,0.092725,0.06,0.00556351,1,0.00556351,11.4,0.00049,40,0.0000122007,0.012,0.085404759,0.366020395
Wade Wet,7,10/12/2023,11/21/2023,,0.089203333,0.089203,0.06,0.0053522,1,0.0053522,11.4,0.00047,40,0.0000117373,0.012,0.082160965,0.352118421
Wade Wet,8,10/12/2023,11/21/2023,,0.088600667,0.088601,0.06,0.00531604,1,0.00531604,11.4,0.00047,40,0.000011658,0.012,0.081605877,0.349739474
Hungerford Dry,1,11/21/2023,12/20/2023,,0.0909996,0.091,0.06,0.005459976,1,0.005459976,11.4,0.00048,29,0.0000165154,0.017,0.115607477,0.495460617
Hungerford Wet,1,11/21/2023,12/20/2023,,0.0980052,0.098005,0.06,0.005880312,1,0.005880312,11.4,0.00052,29,0.0000177868,0.018,0.124507514,0.53360363
Hungerford Wet,2,11/21/2023,12/20/2023,,0.091092267,0.091092,0.06,0.005465536,1,0.005465536,11.4,0.00048,29,0.0000165322,0.017,0.115725203,0.495965154
Hungerford Wet,3,11/21/2023,12/20/2023,,0.085680533,0.085681,0.06,0.005140832,1,0.005140832,11.4,0.00045,29,0.00001555,0.016,0.108850042,0.466500181
Hungerford Wet,5,11/21/2023,12/20/2023,,0.098172,0.098172,0.06,0.00589032,1,0.00589032,11.4,0.00052,29,0.0000178171,0.018,0.124719419,0.534511797
Wade Dry,1,11/21/2023,12/19/2023,,0.086403333,0.086403,0.06,0.0051842,1,0.0051842,11.4,0.00045,28,0.0000162412,0.016,0.113688596,0.487236842
Wade Dry,2,11/21/2023,12/19/2023,,0.083808667,0.083809,0.06,0.00502852,1,0.00502852,11.4,0.00044,28,0.0000157535,0.016,0.110274561,0.472605263
Wade Dry,3,11/21/2023,12/19/2023,,0.0899432,0.089943,0.06,0.005396592,1,0.005396592,11.4,0.00047,28,0.0000169066,0.017,0.118346316,0.507198496
Wade Dry,4,11/21/2023,12/19/2023,,0.083345333,0.083345,0.06,0.00500072,1,0.00500072,11.4,0.00044,28,0.0000156664,0.016,0.109664912,0.469992481
Wade Dry,5,11/21/2023,12/19/2023,,0.083753067,0.083753,0.06,0.005025184,1,0.005025184,11.4,0.00044,28,0.0000157431,0.016,0.110201404,0.472291729
Wade Wet,1,11/21/2023,12/19/2023,,0.0837716,0.083772,0.06,0.005026296,1,0.005026296,11.4,0.00044,28,0.0000157465,0.016,0.110225789,0.472396241
Wade Wet,5,11/21/2023,12/19/2023,,0.0844944,0.084494,0.06,0.005069664,1,0.005069664,11.4,0.00044,28,0.0000158824,0.016,0.111176842,0.47647218
Wade Wet,6,11/21/2023,12/19/2023,,0.087886,0.087886,0.06,0.00527316,1,0.00527316,11.4,0.00046,28,0.0000165199,0.017,0.115639474,0.495597744
Wade Wet,7,11/21/2023,12/19/2023,,0.0835492,0.083549,0.06,0.005012952,1,0.005012952,11.4,0.00044,28,0.0000157047,0.016,0.109933158,0.471142105
Wade Wet,8,11/21/2023,12/19/2023,,0.084179333,0.084179,0.06,0.00505076,1,0.00505076,11.4,0.00044,28,0.0000158232,0.016,0.110762281,0.474695489
Hungerford Dry,1,12/20/2023,1/25/2024,,0.1346912,0.134691,0.06,0.008081472,1,0.008081472,11.4,0.00071,36,0.0000196917,0.02,0.137841871,0.590750877
Hungerford Wet,1,12/20/2023,1/25/2024,,0.302530667,0.302531,0.06,0.01815184,1,0.01815184,11.4,0.00159,36,0.0000442296,0.044,0.309607407,1.326888889
Hungerford Wet,2,12/20/2023,1/25/2024,,0.2310908,0.231091,0.06,0.013865448,1,0.013865448,11.4,0.00122,36,0.0000337852,0.034,0.236496433,1.01355614
Hungerford Wet,3,12/20/2023,1/25/2024,,0.1656452,0.165645,0.06,0.009938712,1,0.009938712,11.4,0.00087,36,0.0000242171,0.024,0.169519942,0.726514035
Wade Dry,1,12/19/2023,1/22/2024,,0.116904933,0.116905,0.06,0.007014296,1,0.007014296,11.4,0.00062,34,0.0000180967,0.018,0.126677172,0.542902167
Wade Dry,2,12/19/2023,1/22/2024,,0.105604267,0.105604,0.06,0.006336256,1,0.006336256,11.4,0.00056,34,0.0000163474,0.016,0.114431868,0.490422291
Wade Dry,3,12/19/2023,1/22/2024,,0.117985867,0.117986,0.06,0.007079152,1,0.007079152,11.4,0.00062,34,0.0000182641,0.018,0.127848462,0.547921981
Wade Dry,4,12/19/2023,1/22/2024,,0.112679467,0.112679,0.06,0.006760768,1,0.006760768,11.4,0.00059,34,0.0000174426,0.017,0.122098493,0.523279257
Wade Dry,5,12/19/2023,1/22/2024,,0.113269067,0.113269,0.06,0.006796144,1,0.006796144,11.4,0.0006,34,0.0000175339,0.018,0.122737379,0.526017337
Wade Wet,1,12/19/2023,1/22/2024,,0.109928,0.109928,0.06,0.00659568,1,0.00659568,11.4,0.00058,34,0.0000170167,0.017,0.119117028,0.510501548
Wade Wet,5,12/19/2023,1/22/2024,,0.164367733,0.164368,0.06,0.009862064,1,0.009862064,11.4,0.00087,34,0.0000254439,0.025,0.178107451,0.763317647
Wade Wet,6,12/19/2023,1/22/2024,,0.1597492,0.159749,0.06,0.009584952,1,0.009584952,11.4,0.00084,34,0.000024729,0.025,0.173102848,0.74186935
Wade Wet,7,12/19/2023,1/22/2024,,0.1063904,0.10639,0.06,0.006383424,1,0.006383424,11.4,0.00056,34,0.0000164691,0.016,0.115283715,0.494073065
Wade Wet,8,12/19/2023,1/22/2024,,0.116511867,0.116512,0.06,0.006990712,1,0.006990712,11.4,0.00061,34,0.0000180359,0.018,0.126251249,0.54107678
Hungerford Dry,1,1/25/2024,2/28/2024,,0.174676,0.174676,0.06,0.01048056,1,0.01048056,11.4,0.00092,34,0.0000270396,0.027,0.189277399,0.811188854
Hungerford Dry,2,1/25/2024,2/28/2024,,0.17608,0.17608,0.06,0.0105648,1,0.0105648,11.4,0.00093,34,0.000027257,0.027,0.190798762,0.817708978
Hungerford Wet,1,1/25/2024,2/28/2024,,0.274576,0.274576,0.06,0.01647456,1,0.01647456,11.4,0.00145,34,0.000042504,0.043,0.297528173,1.275120743
Hungerford Wet,2,1/25/2024,2/28/2024,,0.281812,0.281812,0.06,0.01690872,1,0.01690872,11.4,0.00148,34,0.0000436241,0.044,0.30536904,1.308724458
Hungerford Wet,3,1/25/2024,2/28/2024,,0.26518,0.26518,0.06,0.0159108,1,0.0159108,11.4,0.0014,34,0.0000410495,0.041,0.287346749,1.231486068
Hungerford Wet,5,1/25/2024,2/28/2024,,0.697936,0.697936,0.06,0.04187616,1,0.04187616,11.4,0.00367,34,0.00010804,0.108,0.756277399,3.241188854
Wade Dry,1,1/22/2024,2/28/2024,,0.158692,0.158692,0.06,0.00952152,1,0.00952152,11.4,0.00084,37,0.0000225735,0.023,0.158014794,0.677206259
Wade Dry,2,1/22/2024,2/28/2024,,0.159556,0.159556,0.06,0.00957336,1,0.00957336,11.4,0.00084,37,0.0000226964,0.023,0.158875107,0.680893314
Wade Dry,3,1/22/2024,2/28/2024,,0.150268,0.150268,0.06,0.00901608,1,0.00901608,11.4,0.00079,37,0.0000213752,0.021,0.149626743,0.641257468
Wade Dry,4,1/22/2024,2/28/2024,,0.174028,0.174028,0.06,0.01044168,1,0.01044168,11.4,0.00092,37,0.000024755,0.025,0.173285349,0.742651494
Wade Dry,5,1/22/2024,2/28/2024,,0.150808,0.150808,0.06,0.00904848,1,0.00904848,11.4,0.00079,37,0.0000214521,0.021,0.150164438,0.643561878
Wade Wet,1,1/22/2024,2/28/2024,,0.154048,0.154048,0.06,0.00924288,1,0.00924288,11.4,0.00081,37,0.0000219129,0.022,0.153390612,0.657388336
Wade Wet,6,1/22/2024,2/28/2024,,0.264748,0.264748,0.06,0.01588488,1,0.01588488,11.4,0.00139,37,0.0000376597,0.038,0.263618208,1.129792319
Wade Wet,7,1/22/2024,2/28/2024,,0.16798,0.16798,0.06,0.0100788,1,0.0100788,11.4,0.00088,37,0.0000238947,0.024,0.167263158,0.716842105
Wade Wet,8,1/22/2024,2/28/2024,,0.152212,0.152212,0.06,0.00913272,1,0.00913272,11.4,0.0008,37,0.0000216518,0.022,0.151562447,0.649553343
Hungerford Dry,1,2/28/2024,4/1/2024,,0.0897804,0.08978,0.06,0.005386824,1,0.005386824,11.4,0.00047,33,0.000014319,0.014,0.100233301,0.429571292
Wade Dry,1,2/28/2024,3/27/2024,,0.0900411,0.090041,0.06,0.005402466,1,0.005402466,11.4,0.00047,28,0.000016925,0.017,0.118475132,0.507750564
Wade Dry,2,2/28/2024,3/27/2024,,0.090330767,0.090331,0.06,0.005419846,1,0.005419846,11.4,0.00048,28,0.0000169795,0.017,0.118856272,0.509384023
Wade Dry,3,2/28/2024,3/27/2024,,0.0895197,0.08952,0.06,0.005371182,1,0.005371182,11.4,0.00047,28,0.000016827,0.017,0.117789079,0.504810338
Wade Dry,4,2/28/2024,3/27/2024,,0.089925233,0.089925,0.06,0.005395514,1,0.005395514,11.4,0.00047,28,0.0000169032,0.017,0.118322675,0.50709718
Wade Dry,5,2/28/2024,3/27/2024,,0.0890852,0.089085,0.06,0.005345112,1,0.005345112,11.4,0.00047,28,0.0000167453,0.017,0.117217368,0.50236015
Wade Wet,1,2/28/2024,3/27/2024,,0.0896066,0.089607,0.06,0.005376396,1,0.005376396,11.4,0.00047,28,0.0000168433,0.017,0.117903421,0.505300376
Wade Wet,6,2/28/2024,3/27/2024,,0.098586267,0.098586,0.06,0.005915176,1,0.005915176,11.4,0.00052,28,0.0000185313,0.019,0.129718772,0.555937594
Wade Wet,7,2/28/2024,3/27/2024,,0.090794233,0.090794,0.06,0.005447654,1,0.005447654,11.4,0.00048,28,0.0000170666,0.017,0.119466096,0.511997556
Wade Wet,8,2/28/2024,3/27/2024,,0.089809367,0.089809,0.06,0.005388562,1,0.005388562,11.4,0.00047,28,0.0000168815,0.017,0.118170219,0.506443797
